distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.22,1.11,1.24,0.09,0.13,1
0.48,1.32,1.41,0.32,0.29,1
1.38,1.68,1.66,0.62,0.65,1
1.09,1.76,1.76,0.14,0.22,1
0.58,1.71,1.69,0.26,0.28,1
0.46,1.68,1.67,0.14,0.1,1
0.3,0.87,0.83,0.87,0.91,1
0.3,0.7,0.68,0.32,0.28,1
0.56,0.7,1.06,0.09,0.44,1
0.96,0.7,1.51,0.06,0.52,1
0.55,0.75,0.66,0.08,0.87,1
0.87,1.37,0.71,0.66,0.09,1
0.86,1.4,0.81,0.1,0.12,1
0.72,0.72,0.98,0.7,0.19,1
0.6,0.81,1.15,0.19,0.17,1
0.46,1.47,1.51,0.66,0.39,1
0.36,1.41,1.47,0.11,0.09,1
0.42,0.65,0.64,0.79,0.84,1
0.41,0.64,0.61,0.03,0.03,1
0.35,1.3,1.39,0.72,0.81,1
0.39,1.57,1.6,0.38,0.33,1
0.32,1.12,1.4,0.47,0.38,1
0.59,0.72,1.24,0.45,0.17,1
1.15,0.74,1.34,0.05,0.87,1
1.12,0.77,1.37,0.06,0.09,1
0.31,1.1,1.05,0.5,0.49,1
0.44,1.22,0.84,0.14,0.25,1
0.49,1.24,0.89,0.16,0.07,1
1.06,1.21,1.02,0.8,0.14,1
0.6,1.03,1.1,0.39,0.15,1
0.83,0.72,1.48,0.44,0.38,1
0.99,0.71,1.6,0.05,0.14,1
0.75,0.72,0.76,0.05,0.95,1
0.64,0.8,0.83,0.17,0.23,1
0.72,1.47,0.84,0.69,0.13,1
0.75,0.95,0.87,0.69,0.06,1
0.77,0.78,0.99,0.3,0.13,1
0.93,0.67,1.44,0.3,0.45,1
0.76,0.96,0.65,0.41,0.82,1
0.96,1.55,0.7,0.63,0.1,1
0.68,0.63,0.93,0.93,0.25,1
0.56,1.07,1.19,0.59,0.28,1
0.4,1.57,1.55,0.69,0.48,1
0.36,1.19,1.24,0.59,0.51,1
0.5,0.64,0.66,0.65,0.65,1
0.35,0.72,0.75,0.19,0.17,1
0.24,1.15,1.15,0.46,0.41,1
0.24,1.27,1.19,0.16,0.12,1
0.21,1.25,1.19,0.02,0.04,1
0.61,1.43,1.38,0.29,0.3,1
1.39,1.68,1.65,0.54,0.53,1
0.88,1.49,1.48,0.32,0.32,1
0.44,1.02,1.13,0.53,0.41,1
0.32,1.06,1.11,0.08,0.05,1
0.33,1.07,1.12,0.07,0.03,1
0.38,1.07,1.13,0.02,0.02,1
0.32,1.15,1.23,0.11,0.13,1
0.25,1.23,1.31,0.09,0.11,1
0.24,1.31,1.36,0.11,0.11,1
1.54,1.26,1.25,0.63,0.75,1
1.13,1.31,1.21,0.26,0.3,1
0.77,1.01,0.99,0.34,0.31,1
0.92,1.73,1.09,0.81,0.1,1
0.85,0.78,0.92,0.96,0.23,1
1.35,0.68,1.82,0.3,0.93,1
1.07,0.8,1.62,0.33,0.2,1
0.51,1.52,1.62,0.74,0.15,1
0.38,0.98,1.07,0.56,0.63,1
0.27,1.28,1.35,0.3,0.31,1
1.42,1.18,1.22,0.7,0.7,1
0.85,0.9,0.99,0.44,0.41,1
0.32,0.77,0.73,0.35,0.34,1
0.49,1.12,1.11,0.4,0.45,1
0.38,1.52,1.52,0.4,0.42,1
0.24,1.09,1.29,0.44,0.3,1
1.45,1.29,1.22,0.71,0.73,1
0.71,1.59,1.61,0.48,0.54,1
0.38,0.97,0.88,0.74,0.81,1
0.49,0.63,0.71,0.47,0.21,1
0.17,0.87,0.75,0.42,0.09,1
0.95,0.97,0.88,0.79,0.16,1
0.99,0.75,1.11,0.44,0.27,1
0.96,0.74,0.87,0.13,0.58,1
0.31,1.31,1.34,0.75,0.77,1
1.46,1.18,1.22,0.62,0.67,1
0.97,1.36,1.37,0.32,0.36,1
0.65,1.56,1.6,0.28,0.29,1
0.82,0.79,0.73,0.78,0.88,1
0.59,0.66,0.65,0.41,0.21,1
0.58,0.65,0.64,0.02,0.03,1
0.7,0.67,0.75,0.23,0.33,1
0.59,1.63,1.64,0.96,0.89,1
0.52,1.62,1.66,0.02,0.07,1
0.3,1.01,0.96,0.69,0.79,1
0.41,0.66,0.66,0.53,0.46,1
0.56,0.66,0.66,0.21,0.03,1
1.09,0.66,1.61,0.04,0.95,1
0.98,0.7,1.5,0.31,0.18,1
0.83,1.03,1.46,0.47,0.04,1
0.25,1.3,1.39,0.32,0.38,1
0.47,1.29,1.42,0.12,0.17,1
1.38,1.24,1.25,0.52,0.52,1
1.08,0.87,1.59,0.47,0.45,1
0.84,0.81,0.91,0.17,0.71,1
1.04,1.45,0.69,0.68,0.41,1
0.88,0.66,1.01,0.88,0.39,1
0.65,0.67,0.98,0.21,0.09,1
0.53,1.26,1.32,0.68,0.35,1
0.39,0.76,0.73,0.52,0.6,1
0.58,0.67,0.64,0.3,0.23,1
0.56,0.66,0.63,0.07,0.04,1
0.43,0.71,0.77,0.36,0.37,1
0.34,1.69,1.68,0.99,0.94,1
0.35,1.57,1.58,0.15,0.12,1
0.31,1.38,1.33,0.28,0.34,1
0.52,0.66,0.63,0.85,0.87,1
0.48,0.65,0.62,0.05,0.11,1
0.27,1.53,1.57,0.93,0.99,1
0.24,1.33,1.45,0.27,0.31,1
1.38,1.29,1.34,0.71,0.86,1
1.44,1.28,1.33,0.16,0.04,1
0.65,1.14,1.14,0.54,0.37,1
1.2,1.6,1.04,0.72,0.15,1
0.86,1.1,1.2,0.51,0.23,1
1.42,0.75,1.59,0.46,0.71,1
1.37,0.76,1.6,0.06,0.13,1
0.82,0.98,1.36,0.31,0.37,1
0.47,1.26,1.33,0.34,0.18,1
0.29,1.25,1.35,0.06,0.14,1
1.23,1.27,1.33,0.41,0.56,1
1.45,1.13,1.13,0.36,0.32,1
0.49,1.15,1.15,0.54,0.52,1
0.39,1.23,1.3,0.13,0.15,1
0.46,0.66,0.65,0.67,0.71,1
0.41,0.64,0.64,0.05,0.04,1
0.36,0.61,0.68,0.08,0.16,1
0.34,1.61,1.65,1.01,0.98,1
0.4,1.42,1.5,0.22,0.19,1
0.46,0.63,0.63,0.83,0.89,1
0.16,1.14,1.22,0.6,0.71,1
1.37,1.65,1.67,0.79,0.86,1
1.18,1.63,1.65,0.07,0.16,1
0.89,0.95,1.63,0.75,0.29,1
0.5,0.94,0.67,0.09,0.96,1
0.51,0.92,0.65,0.06,0.13,1
0.53,0.97,0.62,0.06,0.08,1
0.74,1.3,0.65,0.33,0.06,1
0.44,0.69,0.78,0.62,0.16,1
0.43,0.7,0.81,0.07,0.05,1
0.35,0.86,0.87,0.18,0.07,1
0.29,1.16,1.27,0.34,0.43,1
0.26,1.21,1.29,0.1,0.08,1
1.07,1.26,1.32,0.37,0.45,1
1.48,1.17,1.21,0.39,0.31,1
0.87,1.33,1.41,0.37,0.38,1
0.51,1.54,1.6,0.3,0.3,1
0.44,1.18,1.23,0.41,0.46,1
0.48,0.68,0.65,0.57,0.64,1
0.48,0.67,0.64,0.05,0.02,1
0.4,0.65,0.65,0.05,0.06,1
0.4,0.66,0.71,0.11,0.12,1
0.37,1.63,1.64,0.97,0.93,1
0.21,1.33,1.41,0.35,0.29,1
0.34,1.18,1.28,0.18,0.15,1
0.34,1.21,1.32,0.05,0.05,1
0.53,1.39,1.46,0.22,0.25,1
1.38,1.63,1.62,0.6,0.53,1
0.95,1.73,1.75,0.21,0.28,1
0.44,1.42,1.47,0.51,0.4,1
0.47,0.64,0.65,0.82,0.85,1
0.51,0.65,0.65,0.09,0.07,1
0.58,1.46,1.63,0.86,0.99,1
0.36,1.52,1.57,0.11,0.15,1
0.38,0.68,0.68,0.84,0.89,1
0.39,0.64,0.69,0.06,0.1,1
0.71,1.09,1.27,0.47,0.61,1
0.6,1.59,1.57,0.52,0.46,1
0.33,0.94,0.92,0.78,0.83,1
0.59,0.64,0.65,0.5,0.47,1
0.63,0.72,0.69,0.1,0.11,1
0.32,1.02,1.05,0.35,0.42,1
0.11,1.13,1.1,0.11,0.26,1
0.09,1.13,1.09,0.03,0.05,1
0.06,1.12,1.08,0.05,0.01,1
0.05,1.16,1.14,0.06,0.06,1
0.04,1.15,1.14,0.01,0.03,1
