x,y,z,x2,y2,z2
-0.11,1.21,0.06,0.19,1.20,0.03
-0.14,0.90,0.14,0.21,0.85,0.16
-0.16,0.93,0.11,0.19,0.87,0.15
-0.17,0.94,0.09,0.18,0.88,0.13
-0.19,1.28,-0.02,0.22,1.23,-0.01
-0.13,1.24,0.08,0.22,1.23,0.07
-0.11,1.22,0.08,0.20,1.21,0.05
-0.11,0.89,0.09,0.19,0.85,0.09
-0.10,1.01,0.09,0.19,0.98,0.10
-0.14,1.24,-0.00,0.22,1.20,-0.00
-0.63,1.34,0.19,0.74,1.30,0.19
-0.29,1.01,0.13,0.43,1.00,0.16
-0.14,1.06,0.08,0.22,1.06,0.07
-0.13,1.15,0.05,0.22,1.16,0.03
-0.32,1.54,-0.08,0.41,1.53,-0.09
-0.55,1.64,0.19,0.64,1.63,0.17
-0.21,1.06,0.08,0.29,1.02,0.11
-0.08,1.08,0.10,0.17,1.06,0.09
-0.09,1.25,0.05,0.19,1.24,0.03
-0.18,1.02,-0.04,0.20,0.91,0.02
-0.12,0.94,0.13,0.20,0.94,0.11
-0.10,0.99,0.10,0.24,1.16,-0.00
-0.12,0.99,0.11,0.35,1.21,-0.07
-0.13,0.99,0.12,0.32,0.86,0.11
-0.22,1.16,0.01,0.22,0.96,0.09
-0.32,1.24,-0.02,0.21,0.97,0.14
-0.31,0.89,0.10,0.21,0.97,0.16
-0.12,1.01,0.07,0.17,0.99,0.10
-0.12,1.19,-0.00,0.20,1.14,0.01
-0.16,1.27,-0.03,0.22,1.23,-0.05
-0.12,0.90,0.06,0.19,0.85,0.07
-0.10,0.89,0.07,0.20,0.86,0.07
-0.12,1.37,0.08,0.27,1.32,0.02
-0.09,1.22,0.06,0.25,1.19,0.05
-0.07,1.07,0.11,0.21,1.13,0.05
-0.07,1.05,0.11,0.27,1.23,-0.04
-0.07,1.04,0.12,0.62,1.09,-0.01
-0.01,1.07,0.09,0.31,0.90,0.11
0.01,1.13,0.04,0.20,0.96,0.11
-0.01,1.17,0.03,0.20,0.95,0.13
-0.25,1.31,-0.11,0.19,0.94,0.16
-0.52,1.09,0.03,0.20,0.94,0.16
-0.14,0.98,0.11,0.19,0.99,0.11
