x,y,z,x2,y2,z2,altezza
-0.32,1.17,0.02,0.14,1.12,0.03,1.56
-0.43,1.22,0.03,0.22,1.17,0.03,1.55
-0.41,1.18,0.02,0.23,1.17,0.04,1.55
-0.39,1.17,0.02,0.22,1.17,0.03,1.55
-0.39,1.19,0.01,0.21,1.18,0.03,1.55
-0.40,1.20,0.01,0.22,1.18,0.03,1.55
-0.39,1.19,0.01,0.22,1.19,0.03,1.56
-0.28,1.25,0.02,0.16,1.26,0.04,1.57
-0.28,1.31,0.01,0.16,1.36,-0.03,1.57
-0.30,1.24,0.02,0.12,0.87,-0.18,1.55
-0.28,1.16,0.04,0.14,0.89,0.11,1.56
-0.29,0.88,-0.02,0.21,1.04,0.07,1.56
-0.26,0.98,0.08,0.20,1.18,0.04,1.57
-0.20,1.25,-0.02,0.11,1.34,-0.02,1.57
-0.24,0.85,-0.05,0.13,0.83,-0.02,1.56
-0.29,0.93,0.06,0.18,0.93,0.08,1.57
-0.28,1.23,-0.03,0.15,1.26,-0.02,1.57
-0.26,1.23,-0.03,0.12,1.25,-0.02,1.58
-0.27,1.19,-0.03,0.12,1.19,-0.01,1.57
-0.22,1.26,-0.11,0.13,1.27,-0.08,1.57
-0.19,0.82,-0.06,0.14,0.77,0.01,1.56
-0.28,0.98,0.00,0.14,0.96,0.04,1.57
-0.25,1.15,-0.06,0.10,1.17,-0.04,1.57
-0.20,1.13,-0.16,0.12,1.10,-0.15,1.56
-0.24,0.87,0.02,0.12,0.87,0.03,1.57
-0.25,1.09,-0.08,0.10,1.09,-0.06,1.57
-0.18,1.11,-0.19,0.13,1.08,-0.18,1.56
-0.28,0.98,-0.05,0.15,0.96,-0.04,1.58
-0.43,1.30,-0.10,0.29,1.32,-0.10,1.58
-0.34,1.32,-0.27,0.12,1.25,-0.23,1.58
-0.35,1.17,-0.13,0.13,1.13,-0.11,1.58
-0.27,1.06,-0.00,0.14,1.07,0.03,1.59
-0.32,1.21,-0.07,0.21,1.21,-0.04,1.59
-0.46,1.54,-0.07,0.31,1.57,-0.05,1.59
-0.29,1.47,-0.29,0.13,1.37,-0.29,1.60
-0.23,1.12,-0.10,0.04,1.13,-0.07,1.59
-0.23,1.06,0.00,0.07,1.05,0.05,1.58
-0.21,1.21,-0.10,0.10,1.23,-0.09,1.57
-0.21,1.34,-0.14,0.10,1.32,-0.11,1.56
-0.25,0.82,0.07,0.16,0.81,0.12,1.57
-0.23,1.11,-0.06,0.14,1.12,-0.05,1.57
-0.18,1.33,-0.08,0.19,1.38,-0.08,1.57
-0.21,1.25,-0.04,0.31,0.75,0.20,1.58
-0.25,1.13,0.00,0.23,0.77,0.24,1.58
-0.30,1.33,-0.09,0.15,0.99,0.04,1.57
-0.43,0.77,0.11,0.16,1.02,0.08,1.57
-0.31,0.90,0.07,0.13,1.05,0.05,1.57
-0.24,1.14,-0.07,0.11,1.16,-0.02,1.57
-0.17,1.44,-0.09,0.08,1.41,-0.08,1.57
-0.21,0.81,-0.05,0.15,0.79,0.00,1.57
-0.29,0.85,0.04,0.16,0.83,0.08,1.57
-0.22,0.98,-0.19,0.18,0.95,-0.15,1.56
-0.19,0.86,0.00,0.12,0.87,0.01,1.57
-0.23,0.98,-0.00,0.10,1.01,0.03,1.58
-0.29,1.05,-0.03,0.33,1.18,-0.05,1.58
-0.27,1.09,0.02,0.15,1.30,-0.27,1.58
-0.30,1.11,0.04,0.03,1.18,-0.12,1.59
-0.29,1.19,-0.03,0.28,1.06,0.06,1.58
-0.30,1.23,-0.08,0.24,1.08,0.07,1.58
-0.53,1.35,-0.13,0.24,1.11,0.06,1.58
-0.17,1.30,-0.22,0.23,1.12,0.08,1.59
-0.19,1.06,-0.07,0.22,1.11,0.06,1.58
-0.26,1.06,-0.01,0.24,1.12,0.00,1.58
-0.30,1.09,0.03,0.45,1.11,0.02,1.57
-0.28,1.11,0.07,0.27,0.81,-0.10,1.54
-0.29,1.07,0.08,0.19,0.76,0.09,1.57
-0.30,1.11,-0.02,0.18,0.87,0.08,1.57
-0.32,1.32,-0.19,0.21,0.93,0.06,1.57
-0.53,0.77,0.25,0.20,0.95,0.07,1.58
-0.38,0.81,0.13,0.17,1.15,-0.07,1.57
-0.31,0.92,0.07,0.16,0.72,0.13,1.57
-0.29,0.97,0.01,0.19,0.78,0.17,1.57
-0.23,0.98,-0.21,0.17,1.01,0.04,1.57
-0.27,0.81,0.18,0.18,1.13,0.03,1.58
-0.24,1.19,0.01,0.15,1.28,-0.03,1.58
-0.24,1.34,-0.12,0.12,1.39,-0.09,1.56
-0.22,0.72,0.11,0.15,0.72,0.15,1.56
-0.25,0.90,0.03,0.16,0.87,0.05,1.58
-0.21,1.30,-0.07,0.05,1.30,-0.09,1.59
-0.33,1.24,-0.10,0.19,1.30,-0.09,1.59
-0.38,1.23,-0.08,0.25,1.40,-0.09,1.59
-0.50,1.50,-0.07,0.36,1.53,-0.07,1.59
-0.31,1.55,-0.25,0.17,1.48,-0.27,1.61
-0.29,1.16,-0.14,0.10,1.14,-0.14,1.60
-0.26,1.06,0.01,0.09,1.05,0.04,1.59
-0.29,1.09,0.02,0.13,1.10,0.05,1.59
-0.25,1.14,0.01,0.18,1.13,0.04,1.59
-0.19,1.11,0.02,0.24,1.13,0.02,1.58
-0.14,1.12,0.03,0.29,1.14,0.02,1.58
-0.23,1.15,0.01,0.36,1.15,0.03,1.58
-0.49,1.28,0.03,0.54,1.26,0.03,1.59
-0.11,1.27,-0.22,0.10,1.19,-0.25,1.59
-0.25,1.05,-0.05,0.14,1.03,-0.06,1.59
-0.33,1.29,-0.07,0.23,1.19,-0.04,1.59
