distanza,altezza,distanzaDx,distanzaSx,Sesso
0.55,1.56,0.16,0.16,1
0.46,1.57,0.33,0.22,1
0.64,1.57,0.1,0.26,1
0.48,1.57,0.07,0.36,1
0.38,1.57,0.11,0.15,1
0.34,1.57,0.19,0.25,1
0.36,1.58,0.07,0.06,1
0.35,1.58,0.29,0.33,1
0.39,1.58,0.16,0.23,1
0.31,1.58,0.13,0.08,1
0.32,1.58,0.02,0.03,1
0.43,1.59,0.09,0.08,1
0.88,1.59,0.35,0.3,1
1.1,1.61,0.29,0.37,1
0.27,1.59,0.78,0.54,1
0.21,1.59,0.1,0.09,1
0.18,1.58,0.04,0.02,1
0.19,1.57,0.03,0.02,1
0.27,1.57,0.1,0.11,1
0.35,1.58,0.13,0.25,1
0.35,1.58,0.09,0.05,1
0.49,1.58,0.17,0.04,1
1.38,1.58,0.5,0.43,1
0.86,1.58,0.45,0.31,1
0.76,1.57,0.23,0.1,1
1.0,1.57,0.05,0.45,1
0.77,1.57,0.12,0.28,1
0.89,1.58,0.67,0.06,1
0.61,1.57,0.29,0.01,1
0.48,1.56,0.23,0.03,1
0.36,1.57,0.1,0.19,1
0.5,1.57,0.18,0.08,1
1.24,1.57,0.5,0.44,1
0.69,1.57,0.39,0.31,1
0.34,1.57,0.19,0.17,1
0.33,1.57,0.07,0.09,1
0.3,1.58,0.09,0.1,1
0.32,1.58,0.27,0.29,1
1.07,1.58,0.58,0.52,1
0.82,1.57,0.14,0.11,1
0.41,1.57,0.26,0.23,1
0.35,1.57,0.33,0.27,1
0.41,1.57,0.01,0.15,1
0.61,1.56,0.04,0.22,1
0.71,1.57,0.2,0.15,1
0.86,1.57,0.34,0.18,1
0.54,1.57,0.35,0.27,1
1.33,1.57,0.39,0.45,1
0.8,1.56,0.38,0.26,1
0.63,1.57,0.17,0.13,1
0.75,1.57,0.25,0.28,1
0.66,1.57,0.41,0.39,1
0.58,1.56,0.09,0.05,1
0.66,1.56,0.12,0.12,1
0.82,1.56,0.43,0.47,1
0.51,1.56,0.21,0.2,1
0.35,1.57,0.12,0.18,1
0.28,1.57,0.39,0.39,1
0.33,1.57,0.06,0.07,1
0.45,1.57,0.28,0.02,1
0.4,1.57,0.2,0.06,1
0.43,1.57,0.17,0.24,1
0.47,1.57,0.06,0.34,1
0.63,1.58,0.22,0.14,1
1.29,1.58,0.31,0.39,1
0.84,1.57,0.23,0.26,1
0.92,1.56,0.13,0.25,1
1.15,1.56,0.52,0.14,1
0.71,1.57,0.18,0.57,1
0.58,1.56,0.16,0.09,1
0.42,1.57,0.31,0.39,1
0.28,1.57,0.11,0.16,1
0.24,1.57,0.29,0.3,1
