distanza,distanzaDx,distanzaSx
0.69,0.29,0.11
0.43,0.02,0.03
0.42,0.56,0.51
1.4,0.3,0.3
1.02,0.25,0.23
0.56,0.37,0.35
0.43,0.66,0.63
0.35,0.06,0.05
0.35,0.26,0.25
0.34,0.61,0.57
0.31,0.16,0.14
0.29,0.47,0.43
0.4,0.37,0.31
0.53,0.66,0.69
1.39,0.38,0.36
0.94,0.34,0.31
0.48,0.83,0.15
0.81,0.16,0.05
0.92,0.04,0.03
0.88,0.04,0.04
0.88,0.01,0.55
0.49,0.02,0.32
0.41,0.01,0.05
0.38,0.33,0.27
0.43,0.19,0.2
0.44,0.39,0.31
1.12,0.25,0.23
1.33,0.38,0.33
0.76,0.15,0.12
0.5,0.48,0.46
0.37,0.54,0.49
0.36,0.1,0.07
0.34,0.01,0.03
0.31,0.15,0.16
0.34,0.59,0.53
0.39,0.08,0.05
0.35,0.15,0.13
0.41,0.13,0.1
0.57,0.2,0.2
0.87,0.57,0.55
1.51,0.39,0.23
0.91,0.56,0.57
0.46,0.67,0.63
0.47,0.27,0.19
0.82,0.59,0.58
0.95,0.18,0.25
0.58,0.77,0.78
0.32,0.09,0.1
0.33,0.29,0.31
0.6,0.53,0.46
0.48,0.38,0.34
0.38,0.45,0.45
0.32,0.02,0.03
0.29,0.08,0.04
0.3,0.02,0.01
0.31,0.01,0.04
0.28,0.05,0.07
0.3,0.6,0.57
0.42,0.44,0.56
0.44,0.17,0.07
0.45,0.11,0.09
0.43,0.1,0.09
0.41,0.08,0.05
0.41,0.1,0.04
0.41,,
