distanza,altezza,distanzaDx,distanzaSx,Sesso
0.75,1.71,0.04,0.62,0
0.4,1.73,0.1,0.43,0
0.52,1.72,0.24,0.18,0
0.82,1.67,0.6,0.05,0
0.5,1.72,0.37,0.11,0
0.49,1.7,0.24,0.33,0
0.39,1.71,0.1,0.49,0
0.38,1.72,0.12,0.07,0
0.5,1.7,0.42,0.06,0
0.35,1.72,0.19,0.19,0
0.3,1.71,0.24,0.13,0
0.32,1.68,0.18,0.2,0
0.18,1.7,0.29,0.27,0
0.14,1.72,0.18,0.16,0
0.22,1.74,0.09,0.12,0
0.42,1.75,0.27,0.27,0
0.55,1.77,0.19,0.19,0
1.02,1.79,0.38,0.34,0
0.86,1.78,0.21,0.21,0
0.44,1.77,0.48,0.46,0
0.29,1.75,0.17,0.15,0
0.2,1.75,0.04,0.05,0
0.2,1.75,0.03,0.03,0
0.22,1.76,0.06,0.05,0
0.28,1.75,0.12,0.1,0
0.42,1.76,0.16,0.15,0
0.79,1.76,0.2,0.18,0
1.03,1.76,0.31,0.28,0
0.42,1.76,0.3,0.36,0
0.67,1.75,0.3,0.1,0
0.45,1.76,0.3,0.02,0
0.53,1.75,0.2,0.25,0
0.57,1.75,0.04,0.49,0
0.25,1.75,0.03,0.44,0
0.28,1.72,0.12,0.15,0
0.29,1.69,0.4,0.36,0
0.73,1.71,0.6,0.56,0
0.96,1.74,0.31,0.32,0
0.31,1.74,0.36,0.38,0
0.27,1.73,0.06,0.05,0
0.25,1.71,0.12,0.1,0
0.26,1.69,0.04,0.02,0
0.31,1.71,0.21,0.17,0
1.39,1.73,0.75,0.73,0
0.46,1.72,0.56,0.58,0
0.31,1.69,0.58,0.55,0
0.29,1.72,0.24,0.21,0
0.28,1.72,0.14,0.08,0
0.94,1.71,0.63,0.09,0
0.87,1.71,0.55,0.47,0
0.42,1.73,0.21,0.28,0
0.83,1.74,0.12,0.5,0
0.89,1.74,0.35,0.4,0
0.38,1.74,0.34,0.23,0
0.69,1.72,0.21,0.21,0
0.92,1.7,0.61,0.54,0
