distanza,altezza,distanzaDx,distanzaSx,Sesso
0.57,1.57,0.26,0.37,1
0.31,1.58,0.3,0.36,1
0.44,1.57,0.27,0.1,1
0.31,1.58,0.41,0.05,1
0.23,1.58,0.07,0.04,1
0.23,1.57,0.4,0.4,1
0.29,1.57,0.16,0.2,1
0.35,1.59,0.44,0.41,1
0.31,1.59,0.13,0.12,1
0.41,1.58,0.29,0.3,1
0.43,1.59,0.1,0.14,1
0.63,1.6,0.21,0.2,1
1.07,1.61,0.31,0.38,1
1.2,1.61,0.16,0.12,1
0.63,1.6,0.61,0.65,1
0.1,1.59,0.31,0.29,1
0.12,1.58,0.02,0.04,1
0.15,1.58,0.04,0.03,1
0.18,1.58,0.02,0.03,1
0.27,1.58,0.07,0.08,1
0.42,1.58,0.23,0.26,1
0.83,1.59,0.26,0.25,1
1.04,1.59,0.36,0.34,1
0.39,1.59,0.38,0.45,1
0.73,1.59,0.41,0.05,1
0.71,1.59,0.2,0.07,1
0.49,1.58,0.39,0.16,1
0.75,1.59,0.09,0.7,1
0.41,1.59,0.07,0.37,1
0.33,1.58,0.35,0.15,1
0.32,1.58,0.33,0.41,1
1.16,1.59,0.47,0.5,1
0.74,1.58,0.4,0.44,1
0.23,1.58,0.27,0.36,1
0.27,1.57,0.31,0.39,1
0.23,1.57,0.05,0.07,1
0.28,1.58,0.25,0.33,1
0.43,1.59,0.06,0.13,1
1.02,1.59,0.31,0.3,1
0.34,1.58,0.36,0.38,1
0.27,1.58,0.53,0.55,1
0.21,1.58,0.07,0.06,1
0.26,1.58,0.16,0.2,1
0.78,1.58,0.4,0.17,1
1.02,1.59,0.38,0.42,1
0.34,1.58,0.37,0.43,1
0.8,1.59,0.46,0.44,1
0.9,1.58,0.31,0.3,1
0.48,1.58,0.2,0.26,1
0.61,1.57,0.31,0.46,1
0.76,1.58,0.51,0.7,1
0.51,1.58,0.15,0.12,1
0.49,1.57,0.08,0.09,1
0.85,1.58,0.57,0.62,1
0.57,1.58,0.55,0.55,1
0.45,1.58,0.11,0.09,1
0.33,1.57,0.48,0.62,1
0.27,1.58,0.24,0.12,1
0.31,1.58,0.02,0.11,1
0.44,1.58,0.12,0.22,1
