distanza,altezza,distanzaDx,distanzaSx,Sesso
0.71,1.6,0.05,0.44,1
0.57,1.6,0.01,0.61,1
0.34,1.61,0.1,0.33,1
0.52,1.61,0.23,0.05,1
0.68,1.59,0.57,0.04,1
0.47,1.61,0.22,0.27,1
0.48,1.6,0.2,0.29,1
0.52,1.61,0.12,0.18,1
0.57,1.6,0.17,0.07,1
0.45,1.6,0.29,0.05,1
0.34,1.61,0.29,0.21,1
0.28,1.61,0.13,0.18,1
0.39,1.59,0.43,0.49,1
0.32,1.61,0.1,0.12,1
0.23,1.62,0.05,0.09,1
0.23,1.62,0.03,0.03,1
0.19,1.62,0.04,0.03,1
0.35,1.62,0.28,0.25,1
1.55,1.7,0.79,0.84,1
1.27,1.65,0.7,0.78,1
0.3,1.62,0.53,0.53,1
0.24,1.61,0.1,0.1,1
0.23,1.61,0.02,0.03,1
0.22,1.62,0.01,0.02,1
0.22,1.62,0.02,0.03,1
0.23,1.61,0.02,0.02,1
0.33,1.61,0.21,0.2,1
1.44,1.62,0.53,0.61,1
0.72,1.62,0.57,0.64,1
0.48,1.61,0.16,0.26,1
0.98,1.61,0.77,0.13,1
0.55,1.61,0.74,0.07,1
0.97,1.62,0.16,0.62,1
0.51,1.63,0.09,0.52,1
0.21,1.61,0.06,0.26,1
0.23,1.6,0.39,0.39,1
0.33,1.6,0.28,0.25,1
1.46,1.61,0.62,0.63,1
0.69,1.61,0.58,0.73,1
0.26,1.6,0.31,0.3,1
0.22,1.61,0.06,0.07,1
0.3,1.61,0.14,0.17,1
0.46,1.6,0.26,0.27,1
0.6,1.6,0.38,0.45,1
1.12,1.61,0.62,0.7,1
0.38,1.59,0.5,0.58,1
0.38,1.59,0.49,0.52,1
0.35,1.61,0.12,0.07,1
0.44,1.6,0.31,0.09,1
0.76,1.59,0.55,0.26,1
0.85,1.61,0.28,0.57,1
0.52,1.62,0.23,0.31,1
1.34,1.62,0.73,0.75,1
0.96,1.62,0.7,0.79,1
0.46,1.6,0.5,0.56,1
0.59,1.61,0.3,0.34,1
0.68,1.6,0.65,0.68,1
0.55,1.61,0.27,0.21,1
0.56,1.6,0.09,0.11,1
0.86,1.57,0.57,0.6,1
0.66,1.6,0.38,0.43,1
0.33,1.6,0.23,0.25,1
0.26,1.59,0.31,0.35,1
0.28,1.59,0.05,0.07,1
0.5,1.58,0.09,0.23,1
0.35,1.59,0.01,0.3,1
0.34,1.59,0.1,0.04,1
0.38,1.6,0.23,0.05,1
0.28,1.6,0.17,0.34,1
1.4,1.61,0.58,0.6,1
0.53,1.62,0.5,0.5,1
0.56,1.61,0.25,0.56,1
0.65,1.61,0.13,0.59,1
0.88,1.6,0.34,0.12,1
0.54,1.61,0.39,0.18,1
0.35,1.61,0.47,0.3,1
0.33,1.61,0.11,0.06,1
0.37,1.61,0.36,0.4,1
0.35,1.61,0.05,0.07,1
0.31,1.61,0.02,0.05,1
0.35,1.6,0.39,0.47,1
0.34,1.61,0.17,0.15,1
0.31,1.61,0.03,0.04,1
0.32,1.61,0.49,0.58,1
0.34,1.61,0.06,0.05,1
0.32,1.6,0.52,0.54,1
0.3,1.61,0.11,0.14,1
0.78,1.61,0.32,0.28,1
1.28,1.62,0.62,0.7,1
0.5,1.62,0.39,0.48,1
1.04,1.65,0.8,0.06,1
1.22,1.65,0.56,0.08,1
0.65,1.64,0.79,0.37,1
1.51,1.66,0.14,0.92,1
0.82,1.64,0.21,0.86,1
0.26,1.63,0.22,0.51,1
0.26,1.62,0.17,0.19,1
0.55,1.63,0.26,0.26,1
1.31,1.63,0.71,0.68,1
0.5,1.62,0.47,0.5,1
0.31,1.61,0.38,0.39,1
0.37,1.6,0.35,0.38,1
0.36,1.61,0.04,0.06,1
0.33,1.6,0.09,0.1,1
0.32,1.59,0.38,0.35,1
0.26,1.61,0.17,0.14,1
0.43,1.61,0.21,0.24,1
0.37,1.62,0.24,0.3,1
0.57,1.64,0.32,0.33,1
1.59,1.67,0.68,0.69,1
0.8,1.63,0.89,0.85,1
0.43,1.6,0.32,0.46,1
0.5,1.6,0.12,0.51,1
0.41,1.61,0.13,0.13,1
0.56,1.61,0.36,0.1,1
0.56,1.61,0.09,0.06,1
0.44,1.6,0.41,0.02,1
0.36,1.62,0.17,0.15,1
0.28,1.62,0.16,0.13,1
0.28,1.62,0.08,0.12,1
0.44,1.63,0.12,0.14,1
1.55,1.63,0.63,0.7,1
0.75,1.62,0.53,0.49,1
0.4,1.62,0.5,0.47,1
0.34,1.62,0.06,0.11,1
0.36,1.61,0.44,0.56,1
0.37,1.62,0.09,0.13,1
0.31,1.61,0.22,0.22,1
0.34,1.62,0.14,0.2,1
0.4,1.61,0.1,0.06,1
0.28,1.62,0.22,0.18,1
0.21,1.63,0.05,0.03,1
0.28,1.63,0.17,0.16,1
0.41,1.64,0.14,0.12,1
1.63,1.7,0.72,0.71,1
1.26,1.65,0.71,0.72,1
0.45,1.62,0.51,0.57,1
0.3,1.59,0.4,0.43,1
0.42,1.61,0.16,0.16,1
0.87,1.58,0.24,0.26,1
0.76,1.61,0.39,0.3,1
0.23,1.59,0.51,0.48,1
0.18,1.6,0.04,0.08,1
0.13,1.61,0.24,0.2,1
0.19,1.62,0.23,0.25,1
0.25,1.61,0.07,0.04,1
0.46,1.59,0.57,0.64,1
0.41,1.58,0.07,0.07,1
0.45,1.6,0.06,0.06,1
0.57,1.59,0.19,0.08,1
0.55,1.6,0.02,0.16,1
0.52,1.62,0.05,0.09,1
0.52,1.6,0.2,0.15,1
0.51,1.6,0.05,0.02,1
