velocityDx,velocitySx,velocity,distanza,distanzaDx,distanzaSx,Sesso
0.18,0.17,0.11,0.37,0.61,0.56,1
0.01,0.01,0.1,0.34,0.04,0.05,1
0.04,0.04,0.09,0.31,0.14,0.13,1
0.05,0.04,0.1,0.32,0.16,0.12,1
0.01,0.01,0.09,0.31,0.03,0.02,1
0.06,0.05,0.1,0.33,0.21,0.17,1
0.18,0.15,0.11,0.38,0.61,0.51,1
0.01,0.0,0.13,0.42,0.04,0.01,1
0.01,0.0,0.12,0.4,0.02,0.01,1
0.05,0.02,0.11,0.37,0.18,0.08,1
0.22,0.21,0.13,0.42,0.73,0.71,1
0.03,0.09,0.16,0.53,0.09,0.31,1
0.11,0.04,0.1,0.33,0.37,0.15,1
0.11,0.1,0.14,0.45,0.38,0.33,1
0.11,0.09,0.07,0.23,0.38,0.31,1
0.17,0.18,0.36,1.19,0.58,0.59,1
0.04,0.04,0.36,1.19,0.13,0.14,1
0.12,0.1,0.19,0.63,0.39,0.32,1
0.02,0.03,0.15,0.51,0.08,0.1,1
0.09,0.08,0.2,0.67,0.29,0.26,1
0.14,0.14,0.36,1.19,0.47,0.45,1
0.05,0.04,0.3,1.01,0.16,0.15,1
0.07,0.06,0.2,0.68,0.22,0.21,1
0.03,0.02,0.15,0.51,0.1,0.08,1
0.09,0.08,0.12,0.4,0.3,0.27,1
0.16,0.17,0.13,0.43,0.52,0.58,1
0.03,0.05,0.17,0.58,0.09,0.17,1
0.18,0.01,0.26,0.85,0.59,0.04,1
0.18,0.02,0.2,0.68,0.6,0.07,1
0.07,0.17,0.28,0.95,0.22,0.55,1
0.07,0.02,0.27,0.91,0.22,0.08,1
0.04,0.18,0.23,0.76,0.14,0.61,1
0.03,0.04,0.19,0.63,0.11,0.14,1
0.05,0.08,0.15,0.51,0.17,0.26,1
0.08,0.07,0.11,0.37,0.28,0.24,1
0.19,0.17,0.1,0.33,0.64,0.56,1
0.03,0.03,0.12,0.4,0.1,0.1,1
0.14,0.11,0.13,0.42,0.45,0.38,1
0.14,0.13,0.12,0.41,0.48,0.42,1
0.05,0.07,0.1,0.34,0.18,0.23,1
0.06,0.08,0.1,0.35,0.2,0.28,1
0.16,0.01,0.22,0.74,0.53,0.04,1
0.17,0.02,0.29,0.98,0.56,0.06,1
0.13,0.02,0.19,0.64,0.43,0.08,1
0.09,0.04,0.14,0.45,0.3,0.13,1
0.01,0.02,0.16,0.52,0.02,0.06,1
0.02,0.2,0.32,1.07,0.06,0.65,1
0.01,0.06,0.25,0.83,0.05,0.21,1
0.01,0.12,0.14,0.46,0.04,0.4,1
0.11,0.07,0.15,0.5,0.38,0.22,1
0.2,0.01,0.2,0.68,0.67,0.02,1
0.09,0.03,0.18,0.61,0.3,0.09,1
0.04,0.1,0.22,0.74,0.12,0.33,1
0.01,0.07,0.25,0.83,0.04,0.25,1
0.05,0.13,0.23,0.78,0.17,0.44,1
0.2,0.07,0.28,0.94,0.65,0.22,1
0.21,0.1,0.17,0.55,0.69,0.35,1
0.04,0.13,0.24,0.81,0.12,0.42,1
0.03,0.19,0.15,0.49,0.11,0.64,1
0.04,0.03,0.14,0.48,0.15,0.09,1
0.09,0.06,0.15,0.5,0.3,0.21,1
0.01,0.07,0.1,0.33,0.02,0.25,1
0.15,0.13,0.11,0.36,0.51,0.42,1
0.05,0.05,0.1,0.35,0.18,0.17,1
0.02,0.03,0.09,0.29,0.06,0.09,1
0.01,0.02,0.1,0.32,0.02,0.06,1
0.03,0.03,0.12,0.4,0.11,0.1,1
0.09,0.07,0.2,0.65,0.3,0.24,1
0.17,0.18,0.35,1.17,0.58,0.6,1
0.04,0.03,0.34,1.12,0.13,0.11,1
0.07,0.1,0.24,0.8,0.24,0.34,1
0.08,0.08,0.14,0.48,0.27,0.28,1
0.01,0.03,0.12,0.41,0.03,0.09,1
0.01,0.0,0.12,0.39,0.02,0.01,1
0.01,0.01,0.1,0.34,0.04,0.02,1
0.01,0.01,0.11,0.38,0.03,0.04,1
0.04,0.04,0.14,0.45,0.15,0.14,1
0.2,0.15,0.44,1.48,0.65,0.49,1
0.07,0.07,0.32,1.08,0.24,0.24,1
0.1,0.04,0.21,0.71,0.33,0.13,1
0.02,0.07,0.25,0.82,0.06,0.24,1
0.07,0.05,0.22,0.75,0.25,0.16,1
0.07,0.07,0.24,0.81,0.22,0.22,1
0.05,0.02,0.23,0.76,0.16,0.06,1
0.07,0.03,0.17,0.57,0.22,0.09,1
0.05,0.03,0.1,0.35,0.18,0.11,1
0.03,0.01,0.09,0.29,0.09,0.05,1
0.17,0.14,0.36,1.2,0.55,0.45,1
0.04,0.03,0.3,1.0,0.14,0.09,1
0.07,0.08,0.18,0.59,0.24,0.26,1
0.04,0.04,0.12,0.39,0.12,0.14,1
0.12,0.09,0.11,0.38,0.41,0.3,1
0.12,0.1,0.1,0.33,0.39,0.33,1
0.14,0.13,0.31,1.02,0.47,0.43,1
0.07,0.05,0.24,0.8,0.22,0.17,1
0.16,0.14,0.11,0.36,0.54,0.46,1
0.02,0.05,0.11,0.38,0.06,0.18,1
0.01,0.04,0.09,0.31,0.03,0.13,1
0.01,0.09,0.2,0.65,0.04,0.31,1
0.07,0.08,0.24,0.81,0.22,0.27,1
0.14,0.06,0.29,0.96,0.48,0.2,1
0.17,0.11,0.11,0.37,0.58,0.36,1
0.16,0.13,0.38,1.25,0.53,0.42,1
0.05,0.03,0.32,1.05,0.17,0.11,1
0.08,0.07,0.2,0.67,0.27,0.23,1
0.08,0.06,0.22,0.73,0.26,0.21,1
0.17,0.17,0.21,0.69,0.58,0.56,1
0.01,0.02,0.19,0.62,0.02,0.07,1
0.01,0.01,0.19,0.63,0.05,0.03,1
0.24,0.22,0.2,0.68,0.81,0.74,1
0.02,0.04,0.18,0.61,0.06,0.14,1
0.05,0.05,0.14,0.45,0.18,0.18,1
0.2,0.18,0.11,0.36,0.67,0.61,1
0.02,0.03,0.12,0.41,0.08,0.1,1
0.2,0.01,0.23,0.76,0.66,0.03,1
0.11,0.08,0.22,0.72,0.37,0.27,1
0.01,0.06,0.26,0.86,0.03,0.21,1
0.02,0.18,0.14,0.46,0.07,0.61,1
0.08,0.06,0.07,0.25,0.27,0.2,1
0.18,0.19,0.42,1.39,0.61,0.63,1
0.1,0.07,0.31,1.02,0.33,0.22,1
0.07,0.08,0.22,0.73,0.22,0.28,1
0.19,0.1,0.27,0.89,0.64,0.33,1
0.06,0.22,0.24,0.8,0.19,0.73,1
