distanza,altezza,distanzaDx,distanzaSx,Sesso
0.28,1.63,0.07,0.27,1
0.36,1.64,0.24,0.11,1
0.48,1.63,0.17,0.34,1
0.4,1.63,0.05,0.34,1
0.3,1.63,0.03,0.26,1
0.34,1.64,0.03,0.05,1
0.37,1.64,0.18,0.17,1
0.27,1.64,0.24,0.16,1
0.25,1.64,0.17,0.21,1
0.3,1.64,0.07,0.06,1
0.37,1.65,0.15,0.11,1
0.44,1.65,0.12,0.11,1
0.65,1.66,0.26,0.36,1
0.96,1.67,0.36,0.29,1
0.36,1.66,0.57,0.64,1
0.22,1.65,0.14,0.21,1
0.28,1.63,0.04,0.05,1
0.29,1.63,0.04,0.05,1
0.25,1.64,0.02,0.04,1
0.25,1.64,0.02,0.05,1
0.33,1.64,0.07,0.13,1
0.47,1.64,0.2,0.27,1
1.0,1.65,0.27,0.3,1
0.35,1.65,0.45,0.45,1
0.32,1.65,0.08,0.06,1
0.77,1.65,0.09,0.44,1
0.38,1.64,0.15,0.7,1
0.9,1.64,0.74,0.18,1
0.3,1.64,0.72,0.05,1
0.33,1.64,0.23,0.2,1
0.35,1.64,0.24,0.24,1
0.32,1.64,0.13,0.05,1
0.63,1.64,0.2,0.16,1
0.12,1.63,0.43,0.47,1
0.14,1.63,0.05,0.04,1
0.23,1.63,0.09,0.14,1
0.39,1.63,0.32,0.4,1
0.37,1.64,0.17,0.17,1
1.01,1.64,0.39,0.41,1
0.45,1.63,0.25,0.34,1
0.3,1.63,0.15,0.21,1
0.17,1.63,0.28,0.22,1
0.16,1.62,0.07,0.05,1
0.51,1.62,0.1,0.27,1
0.51,1.62,0.17,0.14,1
0.36,1.62,0.09,0.24,1
0.34,1.62,0.18,0.35,1
0.89,1.63,0.25,0.33,1
0.26,1.63,0.45,0.48,1
0.45,1.62,0.18,0.22,1
1.01,1.63,0.3,0.34,1
0.54,1.63,0.35,0.31,1
0.32,1.62,0.13,0.27,1
0.58,1.61,0.17,0.19,1
0.85,1.61,0.41,0.47,1
0.58,1.62,0.25,0.29,1
0.38,1.62,0.24,0.27,1
0.21,1.62,0.18,0.26,1
0.19,1.62,0.11,0.12,1
0.47,1.62,0.31,0.1,1
0.35,1.62,0.25,0.05,1
0.41,1.62,0.09,0.16,1
0.49,1.63,0.13,0.37,1
0.5,1.63,0.31,0.1,1
1.18,1.63,0.33,0.38,1
0.3,1.62,0.49,0.56,1
0.65,1.63,0.4,0.06,1
0.61,1.62,0.43,0.32,1
0.52,1.62,0.13,0.32,1
0.25,1.63,0.11,0.31,1
0.43,1.62,0.18,0.26,1
0.45,1.62,0.21,0.19,1
0.23,1.62,0.23,0.28,1
0.25,1.62,0.13,0.17,1
0.31,1.63,0.05,0.06,1
0.37,1.64,0.4,0.46,1
0.29,1.63,0.14,0.21,1
0.32,1.63,0.14,0.14,1
0.23,1.63,0.4,0.43,1
0.25,1.62,0.04,0.02,1
0.36,1.63,0.49,0.47,1
0.23,1.63,0.1,0.16,1
1.16,1.63,0.48,0.5,1
0.72,1.63,0.36,0.33,1
0.18,1.63,0.35,0.35,1
1.07,1.65,0.06,0.86,1
0.54,1.65,0.07,0.51,1
0.58,1.65,0.48,0.35,1
0.74,1.66,0.15,0.11,1
0.3,1.65,0.51,0.1,1
0.3,1.65,0.06,0.08,1
0.34,1.64,0.08,0.27,1
1.15,1.64,0.43,0.48,1
0.63,1.64,0.29,0.33,1
0.31,1.62,0.15,0.19,1
0.3,1.62,0.15,0.1,1
0.29,1.63,0.29,0.29,1
0.28,1.62,0.09,0.09,1
0.29,1.62,0.08,0.07,1
0.31,1.62,0.27,0.29,1
0.33,1.62,0.14,0.15,1
0.35,1.63,0.37,0.43,1
0.41,1.63,0.2,0.25,1
1.04,1.64,0.66,0.59,1
0.66,1.64,0.36,0.4,1
0.44,1.63,0.14,0.32,1
0.5,1.62,0.26,0.09,1
0.4,1.62,0.2,0.04,1
0.36,1.62,0.08,0.09,1
0.46,1.62,0.05,0.21,1
0.48,1.62,0.03,0.33,1
0.38,1.63,0.01,0.21,1
0.33,1.63,0.02,0.09,1
0.38,1.63,0.08,0.1,1
0.46,1.63,0.06,0.14,1
1.11,1.64,0.36,0.32,1
0.99,1.63,0.15,0.13,1
0.36,1.63,0.28,0.38,1
0.3,1.62,0.09,0.12,1
0.35,1.63,0.11,0.09,1
0.28,1.62,0.23,0.21,1
0.25,1.62,0.07,0.13,1
0.23,1.63,0.07,0.03,1
0.31,1.62,0.23,0.22,1
0.31,1.62,0.13,0.16,1
0.21,1.63,0.19,0.3,1
0.32,1.64,0.16,0.16,1
