x,y,z,x2,y2,z2
-0.14,1.14,0.08,0.13,1.14,0.10
-0.14,1.26,0.21,0.13,1.27,0.20
-0.12,1.07,0.32,0.13,1.09,0.28
-0.08,1.13,0.30,0.14,1.13,0.27
-0.05,1.10,0.32,0.17,1.10,0.29
-0.06,1.10,0.29,0.19,1.08,0.28
-0.13,0.92,0.25,0.20,0.89,0.26
-0.12,0.93,0.33,0.17,0.92,0.30
-0.12,0.94,0.29,0.15,0.91,0.28
-0.10,0.93,0.17,0.16,0.93,0.18
-0.09,1.24,0.17,0.16,1.25,0.17
-0.09,1.20,0.21,0.16,1.19,0.20
-0.10,1.05,0.17,0.17,1.03,0.18
-0.12,1.02,0.23,0.15,0.97,0.22
-0.16,1.09,0.21,0.17,1.05,0.20
-0.48,1.28,0.15,0.50,1.19,0.15
-0.44,1.21,0.22,0.50,1.14,0.23
-0.24,1.15,0.23,0.28,1.12,0.20
-0.22,1.15,0.23,0.31,1.15,0.19
-0.32,1.38,0.16,0.43,1.37,0.13
-0.53,1.61,0.22,0.66,1.65,0.21
-0.32,1.39,0.22,0.49,1.45,0.20
-0.12,1.02,0.33,0.25,1.01,0.29
-0.06,1.03,0.32,0.19,1.02,0.28
-0.10,1.15,0.29,0.15,1.13,0.28
-0.17,0.92,0.36,0.18,0.93,0.34
-0.16,0.97,0.37,0.17,0.97,0.33
-0.11,0.98,0.36,0.26,1.14,0.22
-0.08,0.96,0.36,0.47,0.89,0.22
-0.09,0.97,0.32,0.34,0.83,0.31
-0.29,1.15,0.22,0.24,0.89,0.28
-0.41,0.95,0.24,0.25,0.91,0.30
-0.19,0.88,0.34,0.22,0.91,0.31
-0.09,1.00,0.30,0.16,0.98,0.26
-0.07,1.01,0.29,0.16,1.00,0.25
-0.13,0.93,0.21,0.20,0.90,0.20
-0.09,0.94,0.27,0.19,0.92,0.25
-0.10,0.96,0.14,0.19,0.95,0.15
-0.09,1.28,0.18,0.20,1.28,0.16
-0.08,1.16,0.24,0.22,1.16,0.19
-0.07,1.03,0.32,0.31,1.08,0.17
-0.04,1.07,0.30,0.42,1.21,0.06
-0.06,1.08,0.30,0.48,1.18,0.09
-0.08,1.04,0.30,0.23,0.98,0.26
-0.16,1.10,0.23,0.17,0.99,0.29
-0.25,1.24,0.21,0.21,0.99,0.31
-0.57,1.32,0.27,0.22,1.00,0.30
-0.43,1.17,0.31,0.20,1.02,0.27
-0.12,1.01,0.33,0.19,1.05,0.24
-0.05,1.00,0.32,0.17,1.25,0.24
-0.02,0.98,0.33,0.58,0.96,0.13
-0.02,0.99,0.31,0.49,0.84,0.29
-0.09,1.06,0.25,0.24,0.94,0.27
-0.25,1.16,0.19,0.22,0.99,0.25
-0.44,0.95,0.26,0.21,0.98,0.29
-0.19,0.93,0.32,0.17,1.03,0.26
