x,y,z,x2,y2,z2
-0.29,0.87,0.15,0.15,0.81,0.23
-0.21,0.90,0.22,0.14,0.83,0.29
-0.19,0.95,0.20,0.12,0.89,0.25
-0.19,0.93,0.14,0.16,0.87,0.18
-0.18,1.30,0.14,0.17,1.24,0.12
-0.18,1.29,0.17,0.15,1.24,0.15
-0.17,1.11,0.11,0.15,1.06,0.13
-0.18,0.97,0.17,0.20,0.89,0.20
-0.23,1.18,0.15,0.25,1.15,0.15
-0.44,1.26,0.17,0.45,1.27,0.15
-0.60,1.24,0.23,0.59,1.18,0.22
-0.36,1.27,0.14,0.40,1.20,0.16
-0.29,1.26,0.12,0.38,1.23,0.16
-0.34,1.31,0.10,0.40,1.28,0.15
-0.60,1.68,0.19,0.60,1.64,0.22
-0.41,1.48,0.18,0.43,1.42,0.21
-0.19,1.20,0.19,0.20,1.09,0.21
-0.15,1.12,0.21,0.17,1.04,0.27
-0.13,1.12,0.19,0.18,1.05,0.23
-0.11,0.89,0.25,0.19,0.85,0.27
0.14,1.21,0.30,0.26,0.90,0.17
0.31,1.33,0.52,0.34,1.12,0.08
0.35,1.31,0.44,0.46,0.86,0.14
0.17,1.28,0.25,0.29,0.83,0.23
-0.22,1.23,0.14,0.19,0.88,0.24
-0.42,0.90,0.15,0.18,0.89,0.25
-0.24,0.93,0.21,0.16,0.94,0.23
-0.19,1.10,0.16,0.14,1.04,0.20
-0.18,1.19,0.20,0.13,1.10,0.23
-0.17,0.91,0.17,0.18,0.88,0.19
-0.14,0.85,0.24,0.20,0.80,0.26
-0.13,0.93,0.13,0.19,0.86,0.16
-0.13,1.28,0.17,0.17,1.21,0.13
-0.17,1.30,0.31,0.19,1.15,0.15
-0.17,1.33,0.38,0.37,1.15,0.15
-0.17,1.31,0.41,0.54,1.23,0.12
-0.18,1.31,0.40,0.65,1.10,0.17
-0.19,1.30,0.30,0.32,0.99,0.19
-0.23,1.10,0.16,0.13,0.73,0.30
-0.25,1.12,0.21,0.16,0.68,0.36
-0.71,1.27,0.16,0.14,0.68,0.38
-0.34,1.08,0.18,0.15,0.69,0.38
-0.16,0.67,0.37,0.15,0.73,0.31
-0.08,0.68,0.35,0.29,1.06,0.17
-0.11,0.70,0.37,0.51,1.03,0.20
-0.18,0.82,0.29,0.39,0.67,0.36
-0.17,1.07,0.18,0.11,0.76,0.30
-0.30,1.24,0.15,0.10,0.71,0.36
-0.56,0.79,0.28,0.16,0.75,0.36
-0.29,1.07,0.19,0.18,1.01,0.23
-0.18,1.28,0.24,0.16,0.83,0.15
-0.18,1.35,0.28,0.15,0.82,0.26
-0.17,1.22,0.14,0.17,0.96,0.26
-0.12,0.82,0.21,0.16,1.03,0.26
-0.13,1.19,0.20,0.13,1.15,0.25
-0.13,1.25,0.22,0.12,1.19,0.24
-0.16,0.78,0.23,0.16,0.77,0.25
-0.12,0.93,0.20,0.13,0.86,0.24
-0.14,1.04,0.19,0.18,0.95,0.23
-0.15,1.06,0.20,0.17,0.94,0.25
